book_id,title,class,subject
2,NCERT Physics Textbook part I&II,11th Class,Physics
3,Concepts Of Physics - H C Verma- 1,11th Class,Physics
4,NCERT Chemistry Textbook,11th Class,Chemistry
5,NCERT Mathematics Textbook,11th Class,Mathematics
6,Comprehensive Chemistry Vol. 1&2,11th Class,Chemistry
7,MATHEMATICS by R.D. Sharma,11th Class,Mathematics
8,Pradeep's Maths Vol 1& 2,11th Class,Mathematics
9,Mathematics AK Roy (Oxford) Vol. 1,11th Class,Mathematics
10,Pradeeps - A Textbook Of Biology - Class XI,11th Class,Biology
11,Pradeep's New course Chemistry Vol. 2,11th Class,Chemistry
12,Biology NCERT,11th Class,Biology
13,Pradeep's Physics vol 1,11th Class,Physics
14,Comprehensive Physics,11th Class,Physics
15,Fundamental Physics (Pradeeps) vol 1&2,11th Class,Physics
16,Concepts Of Physics - H C Verma- 2,12th Class,Physics
17,Dinesh - Physics - S.K. Sharma & R. Jerath - Vol. I & II,12th Class,Physics
18,NCERT Physics Textbook part I&II,12th Class,Physics
19,NCERT Chemistry Textbook part I&II,12th Class,Chemistry
20,NCERT Mathematics Textbook,12th Class,Mathematics
21,Basic Chemistry by N Ojha-S Chowdhury-B Vaijayanthi,12th Class,Chemistry
22,Pradeeps New Course Mathematics Vol. I & Vol. II - Romesh Kumar,12th Class,Mathematics
23,Mathematics KC Sinha Vol. 1& 2,12th Class,Mathematics
24,Mathematics AK Roy (Oxford) Vol. 1&2,12th Class,Mathematics
25,NCERT Biology Textbook,12th Class,Biology
26,Dinesh- Companion chemistry vol. 2,12th Class,Chemistry
27,Trueman's Elementary Biology Vol. 2,12th Class,Biology
28,Environmental science by Mamata Publication,12th Class,Environmental Science
29,J&K State Board Solved Papers for Chemistry,12th Class,Chemistry
30,Biology part I Modern abc,12th Class,Biology
31,EVS by Manzoorul Hassan,12th Class,Environmental Science
32,Physics by Halliday/Resnick/Walker part I&II,12th Class,Physics
33,predeeps physics part II,12th Class,Physics
34,NCERT MATHAMETICS TEXT BOOK PART I&II,12th Class,Mathematics
35,mtg zoology objective,Post 12th - Entrance,Biology
36,mtg AFMC explorer,Post 12th - Entrance,Biology
37,dinesh objective biology,Post 12th - Entrance,Biology
38,English Guide,12th Class,English
39,MBD English Guide,12th Class,English
40,"Organic Chemistry - S.K. Anand, B.K. Sharma",BA/BSC First Year,Chemistry
41,Dinesh Organic Chemistry,BA/BSC First Year,Chemistry
42,Dinesh Physical Chemistry,BA/BSC First Year,Chemistry
43,College Organic Chemistry,BA/BSC First Year,Chemistry
